,disability,stayed_in_emergency_shelter,minority,hospitalized_due_to_malnutrition,marital_status,Gender,num_shelters_year,years_not_in_residence,Age,num_times_relocated_month,days_since_hot_meal,num_dependents,avg_meal_per_day
1360,yes,no,yes,no,single,other,7,4,29,9,401,1,0
1361,yes,no,yes,yes,married,other,1,12,30,13,496,2,0
1362,yes,no,no,no,married,female,2,9,34,13,476,0,0
1363,yes,no,yes,no,married,female,9,1,50,8,186,3,1
1364,no,yes,no,yes,single,other,4,7,20,12,448,2,0
1365,no,yes,yes,no,single,male,3,9,63,19,123,0,1
1366,no,yes,yes,no,single,male,1,1,23,20,600,3,0
1367,no,no,yes,yes,married,other,10,6,33,11,241,0,1
1368,yes,no,no,no,married,female,3,12,63,5,596,2,0
1369,no,yes,yes,no,married,female,2,4,65,10,484,1,0
1370,no,yes,yes,yes,single,other,8,9,45,12,409,0,1
1371,no,yes,no,yes,single,male,4,9,61,7,497,2,0
1372,no,yes,no,no,married,female,1,7,45,8,587,2,1
1373,yes,no,yes,yes,married,other,7,4,62,5,232,3,0
1374,no,no,no,no,married,other,3,11,43,19,423,1,0
1375,yes,no,yes,yes,single,male,1,8,48,8,479,3,1
1376,no,yes,yes,yes,married,other,8,7,55,5,213,2,1
1377,yes,no,yes,no,married,male,2,8,23,16,586,2,1
1378,yes,no,no,yes,married,female,2,3,56,10,549,2,1
1379,yes,yes,no,no,married,female,8,7,25,6,234,1,0
1380,no,yes,yes,no,married,male,10,11,22,12,324,1,0
1381,no,yes,no,no,married,male,10,6,32,19,201,0,1
1382,yes,yes,no,no,single,female,9,12,65,14,89,0,1
1383,yes,no,yes,yes,married,female,5,3,52,11,169,0,0
1384,no,yes,yes,yes,single,other,9,1,39,12,119,0,0
1385,yes,no,yes,yes,married,male,10,3,46,4,563,3,0
1386,no,yes,yes,no,single,other,10,14,43,5,386,1,0
1387,yes,no,no,no,single,other,3,3,64,20,542,0,0
1388,no,yes,yes,no,single,other,4,6,30,18,378,1,0
1389,yes,yes,yes,yes,single,male,5,3,39,14,254,1,1
1390,no,yes,yes,no,married,other,8,11,53,13,493,3,0
1391,no,no,yes,yes,married,female,5,6,39,20,435,2,0
1392,yes,no,no,yes,single,male,3,5,22,17,88,2,1
1393,no,yes,no,yes,single,female,7,5,28,15,211,0,0
1394,yes,no,yes,yes,married,other,4,2,34,17,338,3,0
1395,no,yes,yes,no,single,other,6,13,34,18,519,0,1
1396,no,yes,yes,no,married,other,9,11,25,10,150,0,0
1397,no,yes,no,yes,married,male,9,13,36,10,506,3,1
1398,no,yes,yes,yes,single,male,1,7,52,7,80,3,0
1399,no,yes,yes,yes,single,male,9,8,18,11,315,3,1
1400,yes,no,yes,yes,married,male,1,7,37,5,518,1,0
1401,yes,yes,yes,no,married,male,3,5,35,11,353,1,1
1402,yes,no,no,yes,single,female,1,9,27,9,210,3,1
1403,no,no,no,no,single,other,10,3,53,16,600,1,0
1404,yes,no,no,yes,married,female,7,1,22,9,455,3,0
1405,yes,no,no,yes,married,other,10,4,39,18,88,0,1
1406,no,yes,no,no,single,female,5,15,27,19,118,3,0
1407,no,yes,yes,yes,single,male,1,1,51,6,579,3,0
1408,yes,no,yes,yes,married,male,4,1,57,11,89,3,1
1409,no,no,yes,no,single,other,3,15,40,9,120,3,1
1410,no,no,yes,yes,married,other,3,11,64,10,532,0,0
1411,no,no,no,no,single,female,3,2,54,20,384,1,1
1412,no,no,no,no,single,other,9,15,31,16,285,1,0
1413,no,yes,yes,no,married,female,6,7,58,9,415,3,0
1414,no,yes,yes,no,single,male,6,14,59,10,201,1,0
1415,yes,no,yes,yes,single,female,5,5,50,10,499,0,0
1416,no,yes,no,yes,single,other,5,13,25,12,48,0,1
1417,yes,yes,yes,yes,single,male,10,15,36,19,34,3,1
1418,no,yes,yes,yes,single,female,5,9,49,5,316,0,1
1419,no,no,no,no,married,female,9,3,51,11,212,1,1
1420,yes,yes,yes,no,single,female,6,5,27,13,332,3,0
1421,no,yes,yes,yes,single,other,6,6,63,14,30,3,1
1422,no,no,yes,no,married,female,3,4,61,4,591,0,1
1423,yes,no,no,no,single,other,3,8,30,10,225,3,0
1424,no,yes,no,yes,single,male,2,10,51,6,132,3,0
1425,yes,no,no,yes,single,other,2,14,64,6,492,2,1
1426,yes,yes,yes,yes,single,male,8,11,55,10,565,1,0
1427,no,no,no,yes,single,female,9,7,42,9,106,2,1
1428,yes,no,yes,yes,married,female,9,11,56,18,351,2,1
1429,yes,yes,yes,no,married,other,7,15,37,10,249,2,0
1430,no,no,yes,no,single,male,4,14,58,17,236,2,0
1431,yes,yes,no,no,single,male,6,12,58,15,53,3,0
1432,no,yes,yes,yes,single,male,4,3,45,13,596,0,0
1433,yes,yes,yes,no,married,other,7,13,47,15,375,1,1
1434,no,yes,yes,no,married,male,5,12,44,20,422,0,1
1435,yes,no,yes,no,single,female,7,14,54,16,574,2,0
1436,no,no,yes,no,single,female,9,12,58,13,63,2,1
1437,yes,yes,yes,no,married,male,9,6,54,7,351,2,1
1438,yes,no,yes,no,married,male,1,10,38,18,530,0,1
1439,no,yes,yes,yes,married,male,7,7,54,14,270,2,1
1440,no,no,no,no,married,other,10,12,41,19,522,0,0
1441,no,no,no,no,single,female,5,12,56,10,316,0,1
1442,yes,no,yes,no,married,female,4,5,24,7,146,2,0
1443,no,yes,no,no,single,male,7,12,37,13,295,0,0
1444,yes,no,no,no,married,male,10,1,23,10,439,2,0
1445,no,no,no,no,married,female,7,7,50,8,334,2,0
1446,yes,yes,yes,no,married,male,4,8,63,11,180,2,1
1447,no,no,yes,yes,single,male,4,11,62,9,90,3,1
1448,yes,no,no,yes,single,male,5,14,36,16,374,1,0
1449,yes,yes,yes,no,single,female,2,7,24,10,155,2,0
1450,yes,yes,no,yes,married,male,1,4,26,19,443,0,1
1451,no,yes,no,no,single,female,2,12,47,12,321,0,0
1452,no,no,yes,no,single,male,7,2,20,19,285,3,0
1453,yes,yes,yes,yes,single,other,1,10,30,10,420,1,1
1454,yes,no,yes,yes,single,female,7,2,33,4,121,2,0
1455,yes,no,no,no,married,male,4,3,51,11,425,0,1
1456,no,yes,no,no,single,female,6,6,35,14,396,2,1
1457,no,no,yes,yes,single,female,9,10,58,13,567,3,0
1458,yes,no,no,yes,single,other,8,6,28,18,54,1,1
1459,yes,yes,no,yes,single,male,10,5,49,15,141,2,1
1460,yes,no,no,yes,single,other,7,1,59,4,51,2,0
1461,yes,yes,no,no,married,other,7,8,47,11,330,0,1
1462,yes,yes,yes,yes,married,male,5,4,52,14,169,3,1
1463,no,yes,yes,yes,single,male,4,12,24,4,123,3,1
1464,no,no,yes,no,single,other,6,13,30,7,552,2,0
1465,no,no,yes,no,single,other,10,14,38,19,395,0,0
1466,yes,yes,no,yes,single,male,4,4,64,5,36,2,0
1467,no,yes,no,yes,single,male,3,9,26,9,153,0,1
1468,no,no,no,yes,married,female,6,11,45,19,434,2,0
1469,no,no,no,yes,single,other,6,6,18,7,330,3,0
1470,yes,no,yes,yes,married,female,8,7,21,8,490,2,0
1471,yes,yes,yes,no,married,female,6,8,56,5,451,0,0
1472,yes,yes,yes,yes,single,other,1,12,42,18,351,1,0
1473,yes,yes,yes,no,single,male,1,4,64,20,557,0,1
1474,yes,no,yes,no,married,other,9,10,28,14,430,0,1
1475,yes,no,yes,yes,married,female,5,8,34,15,135,3,1
1476,no,no,yes,yes,married,male,9,11,56,18,507,0,1
1477,yes,no,yes,no,married,other,7,3,18,5,542,0,0
1478,no,no,yes,yes,single,other,1,3,32,8,273,2,1
1479,no,no,yes,yes,married,female,7,10,32,7,35,0,1
1480,no,no,no,yes,married,male,5,2,31,8,196,3,0
1481,yes,no,yes,yes,single,female,4,14,24,7,406,2,1
1482,no,no,yes,no,single,male,2,10,23,18,100,1,0
1483,yes,no,yes,no,single,other,10,13,49,19,321,1,0
1484,no,no,yes,yes,single,female,10,9,19,12,429,1,0
1485,no,no,yes,yes,single,female,2,9,40,8,351,1,1
1486,yes,no,no,no,single,male,6,5,37,13,161,1,1
1487,yes,yes,no,yes,married,female,5,7,26,5,204,2,0
1488,yes,yes,no,yes,single,female,9,13,53,16,134,0,1
1489,no,no,no,yes,single,male,3,8,52,20,563,3,1
1490,no,yes,yes,yes,married,male,4,1,36,6,212,2,1
1491,yes,no,no,yes,single,other,1,9,64,4,416,0,1
1492,no,yes,yes,no,single,other,4,8,41,19,567,1,1
1493,yes,no,yes,no,single,other,9,8,51,7,58,2,0
1494,yes,no,yes,no,married,other,10,3,45,10,452,3,1
1495,no,no,yes,yes,married,female,8,6,32,8,556,3,0
1496,no,no,yes,no,married,other,9,9,28,14,155,3,1
1497,yes,yes,no,yes,single,female,7,2,19,13,84,2,0
1498,no,no,yes,no,single,male,5,9,39,13,98,0,1
1499,yes,no,yes,yes,married,male,5,15,48,15,232,3,1
1500,no,yes,no,no,single,male,2,15,31,13,458,3,0
1501,no,yes,yes,no,married,other,9,12,42,12,401,3,0
1502,yes,no,yes,no,married,other,1,7,28,12,327,1,0
1503,no,yes,yes,yes,single,female,5,4,44,16,163,2,1
1504,no,no,yes,no,married,female,6,14,38,11,188,2,1
1505,no,no,no,no,single,male,6,9,56,17,279,0,0
1506,no,yes,no,yes,single,female,6,5,31,4,426,0,1
1507,yes,yes,yes,no,single,other,8,15,52,10,552,0,0
1508,no,yes,no,yes,married,male,6,6,37,7,361,0,0
1509,no,no,yes,no,married,other,9,14,44,6,331,0,0
1510,no,no,no,yes,single,other,9,5,40,11,293,1,0
1511,no,no,yes,yes,married,male,4,9,34,20,258,2,0
1512,no,no,yes,yes,single,male,8,7,57,13,260,1,0
1513,no,yes,no,no,single,female,9,15,49,17,346,2,1
1514,no,no,no,no,married,male,5,15,39,8,106,2,1
1515,yes,yes,no,yes,married,male,7,3,30,8,354,0,1
1516,yes,yes,no,no,single,other,5,6,52,15,33,3,0
1517,no,yes,yes,yes,married,other,8,5,32,15,122,1,0
1518,yes,no,yes,no,married,other,2,13,19,14,87,2,0
1519,yes,yes,yes,no,single,other,5,7,65,11,552,0,0
1520,no,yes,no,yes,single,female,3,5,19,14,212,0,1
1521,yes,no,no,yes,single,male,1,14,39,12,364,0,0
1522,no,yes,yes,yes,married,male,1,8,32,13,130,0,0
1523,no,yes,yes,yes,married,male,5,11,49,19,408,1,0
1524,no,yes,yes,no,single,male,8,2,48,8,485,2,1
1525,no,yes,yes,no,married,other,1,3,60,13,513,3,1
1526,no,no,yes,yes,married,other,8,15,61,19,324,1,0
1527,yes,yes,yes,no,married,other,10,12,48,5,172,0,0
1528,no,yes,no,no,single,male,8,5,33,17,215,1,1
1529,yes,no,no,no,single,male,6,1,24,15,498,1,0
1530,no,no,yes,yes,single,female,10,11,25,16,343,2,0
1531,yes,yes,no,no,single,other,5,12,19,17,400,0,1
1532,no,yes,no,yes,married,male,8,3,19,13,551,0,1
1533,yes,yes,no,yes,single,male,1,4,19,8,226,0,1
1534,no,no,yes,yes,single,female,2,7,57,11,229,1,1
1535,yes,no,yes,no,married,female,1,1,42,12,362,3,1
1536,no,yes,yes,yes,single,male,10,13,64,6,77,1,0
1537,yes,yes,no,no,married,female,2,13,49,20,94,0,1
1538,yes,no,no,yes,married,female,6,8,63,6,557,0,0
1539,yes,no,yes,yes,single,female,5,8,29,15,209,1,0
1540,no,yes,no,no,single,male,4,11,28,18,113,3,1
1541,yes,no,no,no,single,other,2,3,44,18,302,1,1
1542,yes,no,no,no,single,male,7,1,65,19,172,2,0
1543,no,yes,no,yes,married,other,3,11,25,12,131,3,0
1544,no,yes,yes,yes,married,other,9,7,42,4,582,3,0
1545,no,yes,no,yes,married,male,2,8,42,20,326,1,1
1546,no,no,no,yes,single,other,2,6,30,20,317,0,0
1547,no,yes,yes,no,married,other,10,7,54,13,513,1,1
1548,yes,no,no,yes,married,male,7,6,55,9,73,0,1
1549,yes,yes,yes,no,married,female,2,8,19,6,547,0,1
1550,no,no,no,yes,married,female,8,7,32,12,36,1,1
1551,no,yes,no,no,single,other,9,11,35,7,524,0,1
1552,no,yes,no,no,single,male,5,3,65,14,166,1,1
1553,no,no,yes,no,married,female,9,1,52,19,600,2,0
1554,no,no,yes,no,single,female,7,9,60,4,452,1,0
1555,no,no,no,no,married,male,2,6,55,17,81,2,0
1556,no,no,yes,yes,single,male,7,7,64,9,401,3,1
1557,yes,no,yes,yes,married,female,8,11,22,6,225,0,1
1558,no,no,yes,no,married,female,3,2,43,5,65,2,1
1559,no,yes,no,yes,married,female,6,4,44,13,522,1,1
1560,no,yes,yes,yes,married,other,6,3,50,4,163,0,1
1561,yes,yes,no,yes,married,female,10,3,52,7,140,1,1
1562,yes,yes,yes,no,married,other,5,10,65,10,457,2,1
1563,no,no,no,yes,single,female,1,5,38,17,310,0,1
1564,no,yes,yes,yes,married,other,2,1,59,17,534,1,0
1565,no,yes,no,yes,married,other,5,8,52,17,314,0,1
1566,yes,yes,no,no,married,male,4,8,23,19,570,2,1
1567,no,no,no,yes,single,other,8,15,64,11,530,1,1
1568,no,yes,no,no,married,female,5,15,51,7,161,0,1
1569,yes,yes,yes,no,married,other,10,4,29,5,195,0,0
1570,no,yes,no,no,single,female,4,6,58,17,329,2,0
1571,yes,yes,no,yes,married,other,10,9,57,5,81,2,0
1572,no,no,no,yes,single,female,10,6,37,7,574,1,1
1573,no,no,yes,no,single,female,7,5,27,17,203,0,1
1574,no,yes,no,no,married,female,8,3,30,10,283,2,0
1575,no,yes,no,yes,single,female,9,3,34,7,441,2,0
1576,no,yes,no,no,married,female,1,9,30,9,165,1,1
1577,yes,yes,yes,no,married,female,6,9,50,11,288,1,0
1578,yes,no,yes,yes,single,male,10,15,43,19,77,0,1
1579,no,yes,yes,no,married,male,3,10,26,15,56,0,1
1580,no,no,yes,no,single,other,4,1,32,8,477,0,0
1581,no,yes,no,no,married,other,4,8,18,19,460,2,1
1582,yes,yes,no,yes,single,other,1,3,38,12,527,1,0
1583,yes,yes,no,no,married,male,5,4,62,10,236,2,0
1584,yes,yes,yes,no,married,male,8,14,64,4,216,0,0
1585,yes,yes,no,yes,married,female,4,15,37,5,41,0,0
1586,no,yes,yes,no,married,male,8,13,31,12,387,0,1
1587,yes,no,yes,yes,married,male,10,13,56,6,586,0,1
1588,no,no,no,no,married,other,3,9,34,17,566,3,0
1589,no,no,yes,yes,married,other,10,5,46,15,582,2,0
1590,yes,yes,no,no,married,female,2,13,48,15,381,3,1
1591,no,no,yes,no,married,other,2,1,52,7,411,2,0
1592,yes,yes,no,yes,single,male,6,8,61,19,516,2,1
1593,yes,no,yes,no,single,male,3,6,58,14,117,2,0
1594,yes,no,yes,yes,married,male,1,3,19,10,99,3,1
1595,no,no,no,yes,married,female,3,1,56,11,94,0,1
1596,yes,yes,yes,no,single,female,4,13,23,7,35,3,1
1597,no,no,yes,yes,single,male,5,6,34,13,80,3,0
1598,no,no,no,yes,married,other,4,14,18,14,470,1,1
1599,no,no,no,yes,single,female,7,9,29,19,496,2,1
1600,yes,no,yes,yes,single,male,9,12,27,11,127,2,0
1601,yes,yes,no,no,married,other,1,13,35,7,284,1,0
1602,yes,no,yes,yes,single,female,10,9,37,15,177,0,0
1603,no,no,no,yes,single,other,7,5,22,15,191,2,1
1604,no,yes,yes,no,married,other,8,4,60,7,73,1,0
1605,no,yes,yes,no,married,male,9,1,43,15,253,1,1
1606,no,yes,yes,no,single,other,2,8,22,7,375,2,1
1607,yes,yes,no,no,married,female,6,11,64,17,185,2,1
1608,no,no,yes,yes,married,female,9,12,23,13,207,2,1
1609,no,no,no,no,married,other,1,4,48,9,36,2,0
1610,yes,yes,no,no,single,male,1,3,64,18,307,1,0
1611,yes,yes,yes,yes,single,other,9,7,50,13,235,3,1
1612,no,yes,yes,yes,single,female,5,7,29,7,452,3,0
1613,no,yes,no,yes,single,other,7,4,46,5,110,0,0
1614,no,no,yes,yes,married,male,3,2,51,5,79,0,0
1615,yes,no,yes,yes,married,female,5,3,45,14,488,2,1
1616,no,yes,no,no,married,other,10,12,52,19,496,0,0
1617,yes,yes,yes,yes,single,male,4,1,64,12,452,3,0
1618,yes,yes,yes,yes,married,female,5,2,21,4,422,0,0
1619,no,yes,no,yes,married,other,3,9,58,7,30,3,1
1620,yes,yes,yes,yes,married,other,8,5,42,9,537,1,1
1621,no,yes,yes,yes,single,female,9,14,54,16,74,0,1
1622,yes,yes,yes,yes,married,female,3,12,56,5,78,0,0
1623,yes,no,yes,yes,married,other,7,13,55,15,400,3,0
1624,no,yes,yes,yes,married,other,7,11,51,18,448,1,0
1625,no,no,yes,no,single,other,10,15,59,9,548,3,1
1626,yes,yes,no,no,married,other,9,11,42,17,399,0,1
1627,no,no,no,no,single,male,7,11,48,9,160,3,0
1628,no,no,yes,yes,married,other,1,3,28,12,326,3,1
1629,yes,yes,yes,no,single,male,2,7,43,19,371,3,0
1630,no,yes,yes,yes,single,other,7,6,41,6,362,1,1
1631,no,yes,yes,no,single,other,9,13,38,15,45,0,1
1632,no,yes,yes,yes,single,male,1,15,27,12,90,0,1
1633,yes,yes,yes,yes,married,male,6,10,38,4,30,2,1
1634,no,no,yes,yes,married,male,10,1,37,13,145,1,0
1635,yes,no,no,no,single,other,6,15,32,17,454,0,1
1636,yes,no,no,yes,single,female,4,9,39,16,405,1,0
1637,yes,yes,no,no,single,other,2,12,27,16,486,2,0
1638,no,no,yes,yes,married,male,5,4,57,16,150,0,1
1639,yes,yes,yes,no,married,male,10,11,27,16,138,3,0
1640,no,yes,yes,yes,married,male,4,8,33,9,212,3,1
1641,no,no,yes,yes,married,female,4,2,43,8,568,1,1
1642,yes,no,yes,no,single,other,6,6,27,15,39,0,1
1643,yes,yes,yes,yes,married,male,2,4,49,10,325,3,1
1644,no,yes,yes,yes,married,male,7,7,30,9,157,2,0
1645,no,no,yes,yes,single,female,1,9,25,7,298,0,1
1646,no,no,no,yes,single,female,6,15,61,20,349,2,0
1647,no,yes,no,no,married,other,8,1,49,16,274,2,0
1648,yes,yes,no,no,single,other,4,3,23,12,582,1,1
1649,yes,yes,no,no,single,other,9,14,21,6,179,0,0
1650,no,no,no,no,single,female,1,13,31,12,297,1,0
1651,no,no,no,no,single,other,10,8,42,4,583,1,0
1652,yes,no,yes,no,married,other,6,13,59,11,194,2,1
1653,no,no,yes,yes,single,other,7,3,29,7,439,3,0
1654,no,yes,yes,no,married,female,3,5,53,11,427,3,0
1655,yes,no,no,no,married,other,4,7,59,9,271,3,0
1656,yes,no,yes,yes,married,male,4,14,42,8,299,2,0
1657,no,yes,yes,no,single,female,3,10,50,7,527,1,0
1658,no,no,yes,yes,single,male,1,8,60,12,347,0,0
1659,no,no,no,yes,married,other,10,10,31,15,133,0,0
1660,no,yes,no,yes,married,female,6,14,36,19,408,3,0
1661,no,yes,no,no,single,other,8,2,64,12,63,0,0
1662,yes,no,no,yes,single,other,10,7,51,17,205,0,1
1663,no,no,no,yes,married,female,9,4,50,9,537,0,0
1664,no,yes,yes,yes,married,female,2,11,64,13,497,2,1
1665,no,yes,yes,yes,married,male,5,10,44,13,330,2,0
1666,no,no,no,no,married,male,4,9,43,4,381,3,1
1667,yes,yes,yes,yes,single,male,1,10,21,15,229,1,1
1668,no,yes,no,no,single,male,1,11,57,13,454,3,1
1669,no,no,no,yes,single,other,10,10,19,5,589,0,0
1670,yes,no,yes,no,married,male,2,6,32,13,419,1,1
1671,yes,no,yes,yes,single,female,4,6,60,19,45,2,1
1672,yes,no,yes,no,married,male,8,9,40,19,96,2,1
1673,yes,yes,yes,no,single,other,2,5,55,4,430,2,0
1674,no,no,no,yes,married,female,2,10,51,11,500,1,0
1675,no,yes,yes,yes,single,male,9,7,37,8,174,2,1
1676,no,no,no,no,married,female,5,11,32,12,521,3,0
1677,no,yes,yes,yes,single,male,1,14,36,19,126,2,0
1678,no,no,no,no,married,female,7,4,62,8,543,1,1
1679,yes,yes,yes,yes,single,male,7,7,52,7,410,2,0
1680,yes,no,no,no,single,female,6,3,44,13,105,2,0
1681,yes,yes,yes,yes,married,female,6,3,59,4,560,2,1
1682,no,yes,yes,yes,single,female,6,15,43,11,259,1,0
1683,yes,no,yes,no,married,male,6,7,20,20,219,0,0
1684,yes,yes,yes,no,married,other,7,11,51,8,449,3,1
1685,yes,yes,yes,no,single,other,5,3,49,7,147,2,0
1686,yes,yes,yes,yes,married,other,2,1,20,18,265,3,1
1687,no,yes,no,no,married,female,1,5,40,9,432,0,0
1688,no,yes,yes,yes,married,female,5,2,34,20,351,3,1
1689,no,yes,no,no,married,female,3,15,49,6,196,3,0
1690,no,yes,yes,yes,married,male,4,2,49,14,409,1,1
1691,no,no,yes,no,married,female,5,13,18,5,178,0,1
1692,yes,no,yes,no,married,male,5,6,63,14,262,3,1
1693,no,no,no,yes,married,male,10,9,44,16,234,1,0
1694,yes,no,yes,no,married,other,6,10,36,9,485,1,1
1695,no,no,no,no,single,female,6,7,45,17,174,2,0
1696,yes,no,yes,no,single,other,9,7,65,14,428,2,0
1697,no,yes,no,yes,married,male,6,8,46,12,313,0,0
1698,no,yes,no,no,single,other,9,9,36,16,204,2,1
1699,no,yes,yes,yes,married,male,7,9,47,14,221,0,1
1700,no,no,yes,yes,married,other,9,8,40,15,198,1,0
1701,no,yes,yes,no,single,male,5,12,52,4,384,1,0
1702,yes,no,yes,yes,married,other,1,1,27,20,143,0,1
1703,yes,yes,no,yes,single,male,9,8,65,19,51,1,1
1704,no,no,yes,yes,married,other,2,8,26,5,143,3,1
1705,yes,yes,yes,no,married,male,2,13,30,12,143,0,1
1706,yes,no,no,yes,single,male,9,4,19,17,377,2,1
1707,yes,no,no,yes,married,female,8,5,30,12,96,1,0
1708,no,no,yes,yes,married,other,3,5,43,7,476,3,1
1709,no,no,no,yes,single,female,10,13,40,7,581,2,0
1710,no,yes,no,yes,single,female,7,4,61,5,323,3,0
1711,yes,yes,no,yes,single,other,2,1,46,16,581,3,0
1712,no,no,no,yes,single,female,2,12,41,15,264,2,0
1713,no,no,no,yes,married,male,8,7,59,14,270,3,0
1714,no,no,yes,no,married,female,5,11,59,4,377,2,1
1715,no,yes,yes,no,single,female,2,4,61,19,159,0,0
1716,no,no,no,no,single,other,2,7,48,16,476,1,0
1717,no,no,no,yes,married,male,1,10,59,18,594,1,0
1718,yes,yes,yes,no,single,other,9,14,64,19,137,0,1
1719,no,yes,no,no,married,male,2,6,65,15,86,3,0
1720,yes,no,yes,no,married,other,10,11,24,9,201,3,1
1721,yes,no,no,no,married,female,1,10,52,9,153,2,1
1722,yes,yes,no,no,married,male,2,15,60,10,177,0,0
1723,yes,no,yes,no,single,other,4,6,25,20,526,1,1
1724,yes,no,yes,no,married,other,5,11,38,14,229,1,1
1725,yes,yes,no,no,married,female,7,10,36,12,233,3,0
1726,no,no,yes,no,married,other,4,7,36,5,493,0,0
1727,yes,yes,yes,no,single,female,6,3,40,4,379,1,1
1728,yes,no,yes,yes,single,female,3,8,44,19,573,0,0
1729,no,yes,no,no,single,other,8,10,34,4,586,0,1
1730,no,no,no,no,single,other,8,10,47,20,322,2,0
1731,no,no,no,no,single,other,4,11,39,16,387,3,0
1732,yes,no,yes,no,married,female,10,7,35,19,238,2,1
1733,yes,no,no,yes,single,male,7,10,61,11,477,0,1
1734,yes,yes,yes,yes,married,male,8,11,53,6,184,0,0
1735,yes,no,no,no,married,male,9,4,43,15,234,1,0
1736,yes,no,yes,yes,single,other,6,8,58,15,250,2,1
1737,yes,yes,yes,yes,married,female,2,9,61,8,425,3,1
1738,yes,yes,yes,yes,married,female,2,10,34,16,211,2,1
1739,no,no,no,no,married,other,5,7,65,14,285,2,0
1740,no,no,no,yes,single,other,9,13,62,15,395,1,1
1741,yes,no,yes,no,single,other,8,8,64,6,170,3,0
1742,yes,yes,yes,yes,single,female,9,9,28,9,63,1,1
1743,no,no,no,yes,single,male,2,14,47,9,301,1,1
1744,yes,yes,no,yes,married,female,10,3,48,8,487,1,1
1745,yes,no,no,no,married,male,5,2,54,6,342,2,0
1746,no,no,no,no,single,male,4,14,49,9,284,1,1
1747,yes,no,no,no,single,other,1,9,57,17,324,1,1
1748,yes,no,yes,yes,single,male,6,14,20,4,476,3,1
1749,no,no,no,no,married,female,3,1,40,13,258,1,1
1750,no,no,no,yes,married,other,9,13,23,8,261,1,0
1751,yes,no,no,no,married,other,2,10,50,11,361,2,0
1752,yes,no,no,yes,married,female,7,6,21,18,573,0,0
1753,yes,no,yes,no,single,female,1,6,47,4,224,0,0
1754,no,yes,yes,no,married,female,4,9,20,6,56,0,1
1755,no,no,yes,no,single,female,1,3,41,6,313,1,1
1756,yes,no,no,no,single,female,6,2,25,13,317,1,0
1757,yes,yes,no,no,married,female,3,9,56,5,47,0,0
1758,no,no,no,yes,single,other,6,8,56,13,469,0,1
1759,no,no,no,yes,single,other,10,9,24,13,206,3,0
1760,no,yes,no,no,married,other,3,6,34,5,474,3,0
1761,yes,no,no,yes,married,other,1,4,43,11,57,0,0
1762,no,yes,yes,no,single,other,2,2,59,5,181,1,0
1763,no,yes,yes,yes,single,other,1,7,36,17,246,2,0
1764,no,yes,no,no,married,other,3,7,30,16,265,0,0
1765,yes,yes,yes,yes,single,female,7,9,51,5,175,0,1
1766,yes,yes,yes,yes,married,other,4,1,24,12,293,2,0
1767,no,yes,no,yes,married,female,4,12,39,7,56,2,0
1768,yes,no,yes,yes,single,male,1,3,56,5,566,1,0
1769,yes,no,yes,no,married,male,7,5,45,16,85,2,1
1770,yes,yes,no,yes,single,male,6,2,58,19,279,1,1
1771,yes,yes,no,yes,married,female,7,3,45,6,88,3,1
1772,no,yes,no,yes,married,female,4,1,41,8,62,0,1
1773,no,yes,no,yes,single,other,7,10,44,13,201,3,0
1774,no,yes,no,yes,single,male,6,8,30,6,518,0,0
1775,yes,no,yes,no,single,other,7,8,26,12,298,2,1
1776,yes,yes,no,no,single,female,2,9,42,19,498,0,0
1777,no,no,no,yes,single,female,1,12,43,7,473,1,1
1778,yes,yes,yes,no,married,other,7,10,18,19,546,0,1
1779,yes,yes,yes,no,single,other,2,11,64,19,335,0,0
1780,no,no,yes,no,married,female,8,13,58,12,299,2,0
1781,no,yes,yes,no,single,male,6,8,49,18,72,3,1
1782,yes,yes,yes,yes,single,other,5,7,27,11,90,3,1
1783,no,no,yes,no,married,other,6,14,27,9,453,1,1
1784,yes,yes,yes,yes,single,female,1,10,28,7,59,0,1
1785,no,no,yes,yes,single,other,1,11,50,7,267,2,0
1786,no,yes,yes,yes,married,female,8,6,47,12,357,1,1
1787,yes,no,no,no,single,male,1,8,30,12,133,3,0
1788,yes,yes,no,yes,single,female,10,3,47,12,43,2,1
1789,no,yes,no,yes,married,male,5,14,55,10,70,1,0
1790,yes,no,yes,yes,married,other,9,8,36,20,275,3,0
1791,no,yes,yes,no,married,female,8,3,28,6,32,1,1
1792,yes,no,yes,no,married,male,2,8,27,13,203,3,1
1793,no,yes,yes,yes,married,female,5,13,55,11,419,1,1
1794,no,no,yes,no,married,other,8,9,31,12,413,0,0
1795,no,yes,no,no,married,female,5,8,64,12,182,1,0
1796,yes,no,no,yes,married,other,2,4,57,14,80,2,0
1797,no,yes,yes,yes,married,other,6,1,48,18,54,3,1
1798,no,no,no,no,single,other,9,4,22,13,319,1,0
1799,yes,yes,no,no,married,male,1,13,30,8,199,1,1
1800,no,yes,yes,no,married,other,3,15,38,13,426,0,1
1801,yes,yes,no,yes,married,other,8,8,27,14,354,2,1
1802,yes,yes,no,no,single,female,3,8,29,4,345,3,0
1803,yes,no,yes,yes,single,male,3,2,34,16,277,3,1
1804,no,no,no,no,married,male,7,2,42,16,551,1,0
1805,yes,yes,no,no,married,female,8,11,44,19,321,3,0
1806,no,yes,no,no,single,female,3,8,33,12,566,1,0
1807,yes,no,no,no,single,other,9,4,64,13,430,0,0
